time_s,v_in_small_v,v_out_small_v,v_in_large_v,v_out_large_v
3.000000e-3,-7.347881e-17,-8.244846e-1,-1.469576e-15,-8.241712e-1
3.007813e-3,4.906767e-3,-8.195986e-1,9.813535e-2,-7.264490e-1
3.015625e-3,9.801714e-3,-8.147241e-1,1.960343e-1,-6.289551e-1
3.023438e-3,1.467305e-2,-8.098697e-1,2.934609e-1,-5.318590e-1
3.031250e-3,1.950903e-2,-8.050565e-1,3.901806e-1,-4.355828e-1
3.039063e-3,2.429802e-2,-8.002944e-1,4.859604e-1,-3.403270e-1
3.046875e-3,2.902847e-2,-7.955881e-1,5.805694e-1,-2.461835e-1
3.054688e-3,3.368899e-2,-7.909457e-1,6.737797e-1,-1.533158e-1
3.062500e-3,3.826834e-2,-7.863799e-1,7.653669e-1,-6.197780e-2
3.070313e-3,4.275551e-2,-7.819285e-1,8.551102e-1,2.707377e-2
3.078125e-3,4.713967e-2,-7.775748e-1,9.427935e-1,1.141738e-1
3.085938e-3,5.141027e-2,-7.733262e-1,1.028205e0,1.991720e-1
3.093750e-3,5.555702e-2,-7.691902e-1,1.111140e0,2.819199e-1
3.101563e-3,5.956993e-2,-7.652035e-1,1.191399e0,3.616826e-1
3.109375e-3,6.343933e-2,-7.613731e-1,1.268787e0,4.383199e-1
3.117188e-3,6.715590e-2,-7.576848e-1,1.343118e0,5.121147e-1
3.125000e-3,7.071068e-2,-7.541451e-1,1.414214e0,5.829391e-1
3.132813e-3,7.409511e-2,-7.507601e-1,1.481902e0,6.506681e-1
3.140625e-3,7.730105e-2,-7.476031e-1,1.546021e0,7.138379e-1
3.148438e-3,8.032075e-2,-7.446197e-1,1.606415e0,7.735325e-1
3.156250e-3,8.314696e-2,-7.418148e-1,1.662939e0,8.296577e-1
3.164063e-3,8.577286e-2,-7.391932e-1,1.715457e0,8.821152e-1
3.171875e-3,8.819213e-2,-7.367920e-1,1.763843e0,9.301650e-1
3.179688e-3,9.039893e-2,-7.346307e-1,1.807979e0,9.734126e-1
3.187500e-3,9.238795e-2,-7.326705e-1,1.847759e0,1.012637e0
3.195313e-3,9.415441e-2,-7.309147e-1,1.883088e0,1.047771e0
3.203125e-3,9.569403e-2,-7.293665e-1,1.913881e0,1.078751e0
3.210938e-3,9.700313e-2,-7.281002e-1,1.940063e0,1.104092e0
3.218750e-3,9.807853e-2,-7.270617e-1,1.961571e0,1.124873e0
3.226563e-3,9.891765e-2,-7.262404e-1,1.978353e0,1.141309e0
3.234375e-3,9.951847e-2,-7.256377e-1,1.990369e0,1.153369e0
3.242188e-3,9.987955e-2,-7.252789e-1,1.997591e0,1.160548e0
3.250000e-3,1.000000e-1,-7.252031e-1,2.000000e0,1.162066e0
3.257813e-3,9.987955e-2,-7.253484e-1,1.997591e0,1.159158e0
3.265625e-3,9.951847e-2,-7.257144e-1,1.990369e0,1.151832e0
3.273438e-3,9.891765e-2,-7.263008e-1,1.978353e0,1.140099e0
3.281250e-3,9.807853e-2,-7.271662e-1,1.961571e0,1.122779e0
3.289062e-3,9.700313e-2,-7.282726e-1,1.940063e0,1.100639e0
3.296875e-3,9.569403e-2,-7.295929e-1,1.913881e0,1.074218e0
3.304687e-3,9.415441e-2,-7.311249e-1,1.883088e0,1.043561e0
3.312500e-3,9.238795e-2,-7.328770e-1,1.847759e0,1.008500e0
3.320312e-3,9.039893e-2,-7.349014e-1,1.807979e0,9.679901e-1
3.328125e-3,8.819213e-2,-7.371243e-1,1.763843e0,9.235094e-1
3.335937e-3,8.577286e-2,-7.395416e-1,1.715457e0,8.751375e-1
3.343750e-3,8.314696e-2,-7.421493e-1,1.662939e0,8.229574e-1
3.351562e-3,8.032075e-2,-7.449818e-1,1.606415e0,7.662801e-1
3.359375e-3,7.730105e-2,-7.480203e-1,1.546021e0,7.054824e-1
3.367187e-3,7.409511e-2,-7.512281e-1,1.481902e0,6.412964e-1
3.375000e-3,7.071068e-2,-7.545997e-1,1.414214e0,5.738342e-1
3.382812e-3,6.715590e-2,-7.581294e-1,1.343118e0,5.032112e-1
3.390625e-3,6.343933e-2,-7.618643e-1,1.268787e0,4.284829e-1
3.398437e-3,5.956993e-2,-7.657370e-1,1.191399e0,3.510007e-1
3.406250e-3,5.555702e-2,-7.697402e-1,1.111140e0,2.709077e-1
3.414062e-3,5.141027e-2,-7.738670e-1,1.028205e0,1.883427e-1
3.421875e-3,4.713967e-2,-7.781273e-1,9.427935e-1,1.031099e-1
3.429688e-3,4.275551e-2,-7.825131e-1,8.551102e-1,1.536884e-2
3.437500e-3,3.826834e-2,-7.869910e-1,7.653669e-1,-7.421142e-2
3.445313e-3,3.368899e-2,-7.915531e-1,6.737797e-1,-1.654746e-1
3.453125e-3,2.902847e-2,-7.961915e-1,5.805694e-1,-2.582629e-1
3.460938e-3,2.429802e-2,-8.009151e-1,4.859604e-1,-3.527507e-1
3.468750e-3,1.950903e-2,-8.056921e-1,3.901806e-1,-4.483046e-1
3.476563e-3,1.467305e-2,-8.105105e-1,2.934609e-1,-5.446842e-1
