freq_hz,mag_db,phase_deg
1.0000e1,-4.6610e-1,1.7981e1
1.0471e1,-4.2953e-1,1.7221e1
1.0965e1,-3.9590e-1,1.6489e1
1.1482e1,-3.6501e-1,1.5785e1
1.2023e1,-3.3664e-1,1.5107e1
1.2589e1,-3.1061e-1,1.4457e1
1.3183e1,-2.8673e-1,1.3831e1
1.3804e1,-2.6483e-1,1.3231e1
1.4454e1,-2.4477e-1,1.2655e1
1.5136e1,-2.2639e-1,1.2103e1
1.5849e1,-2.0955e-1,1.1573e1
1.6596e1,-1.9415e-1,1.1066e1
1.7378e1,-1.8005e-1,1.0579e1
1.8197e1,-1.6715e-1,1.0113e1
1.9055e1,-1.5535e-1,9.6665e0
1.9953e1,-1.4456e-1,9.2391e0
2.0893e1,-1.3470e-1,8.8300e0
2.1878e1,-1.2569e-1,8.4385e0
2.2909e1,-1.1745e-1,8.0638e0
2.3988e1,-1.0992e-1,7.7053e0
2.5119e1,-1.0305e-1,7.3624e0
2.6303e1,-9.6770e-2,7.0344e0
2.7542e1,-9.1035e-2,6.7208e0
2.8840e1,-8.5798e-2,6.4209e0
3.0200e1,-8.1016e-2,6.1342e0
3.1623e1,-7.6651e-2,5.8600e0
3.3113e1,-7.2665e-2,5.5980e0
3.4674e1,-6.9028e-2,5.3476e0
3.6308e1,-6.5707e-2,5.1082e0
3.8019e1,-6.2677e-2,4.8794e0
3.9811e1,-5.9911e-2,4.6608e0
4.1687e1,-5.7387e-2,4.4519e0
4.3652e1,-5.5084e-2,4.2523e0
4.5709e1,-5.2983e-2,4.0615e0
4.7863e1,-5.1065e-2,3.8793e0
5.0119e1,-4.9316e-2,3.7052e0
5.2481e1,-4.7720e-2,3.5389e0
5.4954e1,-4.6264e-2,3.3800e0
5.7544e1,-4.4935e-2,3.2282e0
6.0256e1,-4.3723e-2,3.0832e0
6.3096e1,-4.2618e-2,2.9447e0
6.6069e1,-4.1609e-2,2.8123e0
6.9183e1,-4.0689e-2,2.6860e0
7.2444e1,-3.9850e-2,2.5652e0
7.5858e1,-3.9084e-2,2.4499e0
7.9433e1,-3.8386e-2,2.3398e0
8.3176e1,-3.7749e-2,2.2346e0
8.7096e1,-3.7168e-2,2.1341e0
9.1201e1,-3.6638e-2,2.0381e0
9.5499e1,-3.6155e-2,1.9465e0
1.0000e2,-3.5714e-2,1.8589e0
1.0471e2,-3.5312e-2,1.7753e0
1.0965e2,-3.4945e-2,1.6955e0
1.1482e2,-3.4610e-2,1.6192e0
1.2023e2,-3.4305e-2,1.5464e0
1.2589e2,-3.4027e-2,1.4768e0
1.3183e2,-3.3773e-2,1.4103e0
1.3804e2,-3.3542e-2,1.3469e0
1.4454e2,-3.3330e-2,1.2863e0
1.5136e2,-3.3138e-2,1.2284e0
1.5849e2,-3.2962e-2,1.1731e0
