time_s,v_in_small_v,v_out_small_v,v_in_large_v,v_out_large_v
3.000000e-3,-7.347881e-17,-3.902511e-2,-1.469576e-15,-5.582813e-1
3.007813e-3,4.906767e-3,-3.808112e-2,9.813535e-2,-4.134771e-1
3.015625e-3,9.801714e-3,-3.705249e-2,1.960343e-1,-1.764238e-1
3.023438e-3,1.467305e-2,-3.594100e-2,2.934609e-1,1.035794e-2
3.031250e-3,1.950903e-2,-3.474430e-2,3.901806e-1,3.011974e-2
3.039063e-3,2.429802e-2,-3.344412e-2,4.859604e-1,-1.055020e-1
3.046875e-3,2.902847e-2,-3.206995e-2,5.805694e-1,-1.028135e-1
3.054688e-3,3.368899e-2,-3.062424e-2,6.737797e-1,3.004294e-1
3.062500e-3,3.826834e-2,-2.910950e-2,7.653669e-1,7.377819e-1
3.070313e-3,4.275551e-2,-2.751485e-2,8.551102e-1,1.167038e0
3.078125e-3,4.713967e-2,-2.584896e-2,9.427935e-1,1.457353e0
3.085938e-3,5.141027e-2,-2.412578e-2,1.028205e0,1.440197e0
3.093750e-3,5.555702e-2,-2.234831e-2,1.111140e0,1.189443e0
3.101563e-3,5.956993e-2,-2.051959e-2,1.191399e0,9.291815e-1
3.109375e-3,6.343933e-2,-1.862700e-2,1.268787e0,7.653369e-1
3.117188e-3,6.715590e-2,-1.669373e-2,1.343118e0,8.222456e-1
3.125000e-3,7.071068e-2,-1.472327e-2,1.414214e0,1.091495e0
3.132813e-3,7.409511e-2,-1.271904e-2,1.481902e0,1.387906e0
3.140625e-3,7.730105e-2,-1.068061e-2,1.546021e0,1.509624e0
3.148438e-3,8.032075e-2,-8.613339e-3,1.606415e0,1.383128e0
3.156250e-3,8.314696e-2,-6.527425e-3,1.662939e0,1.126025e0
3.164063e-3,8.577286e-2,-4.426520e-3,1.715457e0,1.019950e0
3.171875e-3,8.819213e-2,-2.314295e-3,1.763843e0,1.347383e0
3.179688e-3,9.039893e-2,-1.946124e-4,1.807979e0,1.738553e0
3.187500e-3,9.238795e-2,1.924571e-3,1.847759e0,2.124158e0
3.195313e-3,9.415441e-2,4.039245e-3,1.883088e0,2.458407e0
3.203125e-3,9.569403e-2,6.145727e-3,1.913881e0,2.565703e0
3.210938e-3,9.700313e-2,8.238329e-3,1.940063e0,2.381443e0
3.218750e-3,9.807853e-2,1.030730e-2,1.961571e0,2.062128e0
3.226563e-3,9.891765e-2,1.235253e-2,1.978353e0,1.833420e0
3.234375e-3,9.951847e-2,1.437047e-2,1.990369e0,1.839142e0
3.242188e-3,9.987955e-2,1.635757e-2,1.997591e0,2.052549e0
3.250000e-3,1.000000e-1,1.829888e-2,2.000000e0,2.315354e0
3.257813e-3,9.987955e-2,2.019414e-2,1.997591e0,2.427594e0
3.265625e-3,9.951847e-2,2.204414e-2,1.990369e0,2.327284e0
3.273438e-3,9.891765e-2,2.384569e-2,1.978353e0,2.088201e0
3.281250e-3,9.807853e-2,2.559257e-2,1.961571e0,1.889143e0
3.289062e-3,9.700313e-2,2.726358e-2,1.940063e0,1.871654e0
3.296875e-3,9.569403e-2,2.887325e-2,1.913881e0,2.022359e0
3.304687e-3,9.415441e-2,3.041885e-2,1.883088e0,2.228923e0
3.312500e-3,9.238795e-2,3.189766e-2,1.847759e0,2.334757e0
3.320312e-3,9.039893e-2,3.329070e-2,1.807979e0,2.270567e0
3.328125e-3,8.819213e-2,3.459705e-2,1.763843e0,2.084292e0
3.335937e-3,8.577286e-2,3.582636e-2,1.715457e0,1.912246e0
3.343750e-3,8.314696e-2,3.697654e-2,1.662939e0,1.871199e0
3.351562e-3,8.032075e-2,3.804555e-2,1.606415e0,1.972166e0
3.359375e-3,7.730105e-2,3.899775e-2,1.546021e0,2.130709e0
3.367187e-3,7.409511e-2,3.986290e-2,1.481902e0,2.217818e0
3.375000e-3,7.071068e-2,4.063972e-2,1.414214e0,2.174482e0
3.382812e-3,6.715590e-2,4.132686e-2,1.343118e0,2.027281e0
