freq_hz,mag_db,phase_deg
1.0000e1,-2.5894e-3,-1.2041e0
1.0471e1,-2.7733e-3,-1.2608e0
1.0965e1,-2.9750e-3,-1.3202e0
1.1482e1,-3.1961e-3,-1.3824e0
1.2023e1,-3.4386e-3,-1.4475e0
1.2589e1,-3.7044e-3,-1.5157e0
1.3183e1,-3.9959e-3,-1.5871e0
1.3804e1,-4.3154e-3,-1.6618e0
1.4454e1,-4.6658e-3,-1.7401e0
1.5136e1,-5.0499e-3,-1.8221e0
1.5849e1,-5.4710e-3,-1.9079e0
1.6596e1,-5.9328e-3,-1.9977e0
1.7378e1,-6.4390e-3,-2.0918e0
1.8197e1,-6.9940e-3,-2.1903e0
1.9055e1,-7.6024e-3,-2.2934e0
1.9953e1,-8.2695e-3,-2.4014e0
2.0893e1,-9.0008e-3,-2.5144e0
2.1878e1,-9.8025e-3,-2.6327e0
2.2909e1,-1.0681e-2,-2.7566e0
2.3988e1,-1.1645e-2,-2.8863e0
2.5119e1,-1.2701e-2,-3.0221e0
2.6303e1,-1.3859e-2,-3.1643e0
2.7542e1,-1.5128e-2,-3.3131e0
2.8840e1,-1.6519e-2,-3.4688e0
3.0200e1,-1.8044e-2,-3.6319e0
3.1623e1,-1.9715e-2,-3.8026e0
3.3113e1,-2.1547e-2,-3.9812e0
3.4674e1,-2.3555e-2,-4.1682e0
3.6308e1,-2.5755e-2,-4.3639e0
3.8019e1,-2.8167e-2,-4.5688e0
3.9811e1,-3.0809e-2,-4.7831e0
4.1687e1,-3.3705e-2,-5.0074e0
4.3652e1,-3.6877e-2,-5.2421e0
4.5709e1,-4.0353e-2,-5.4877e0
4.7863e1,-4.4162e-2,-5.7447e0
5.0119e1,-4.8333e-2,-6.0135e0
5.2481e1,-5.2903e-2,-6.2947e0
5.4954e1,-5.7908e-2,-6.5888e0
5.7544e1,-6.3389e-2,-6.8965e0
6.0256e1,-6.9392e-2,-7.2182e0
6.3096e1,-7.5963e-2,-7.5545e0
6.6069e1,-8.3158e-2,-7.9062e0
6.9183e1,-9.1032e-2,-8.2738e0
7.2444e1,-9.9650e-2,-8.6580e0
7.5858e1,-1.0908e-1,-9.0595e0
7.9433e1,-1.1940e-1,-9.4790e0
8.3176e1,-1.3068e-1,-9.9171e0
8.7096e1,-1.4302e-1,-1.0375e1
9.1201e1,-1.5651e-1,-1.0852e1
9.5499e1,-1.7125e-1,-1.1351e1
1.0000e2,-1.8735e-1,-1.1871e1
1.0471e2,-2.0494e-1,-1.2414e1
1.0965e2,-2.2415e-1,-1.2980e1
1.1482e2,-2.4511e-1,-1.3569e1
1.2023e2,-2.6798e-1,-1.4184e1
1.2589e2,-2.9292e-1,-1.4824e1
1.3183e2,-3.2010e-1,-1.5490e1
1.3804e2,-3.4971e-1,-1.6183e1
1.4454e2,-3.8194e-1,-1.6903e1
1.5136e2,-4.1701e-1,-1.7652e1
1.5849e2,-4.5514e-1,-1.8429e1
1.6596e2,-4.9656e-1,-1.9236e1
1.7378e2,-5.4153e-1,-2.0072e1
1.8197e2,-5.9031e-1,-2.0939e1
1.9055e2,-6.4317e-1,-2.1835e1
1.9953e2,-7.0040e-1,-2.2762e1
2.0893e2,-7.6230e-1,-2.3720e1
2.1878e2,-8.2916e-1,-2.4708e1
2.2909e2,-9.0131e-1,-2.5727e1
2.3988e2,-9.7906e-1,-2.6775e1
2.5119e2,-1.0627e0,-2.7853e1
2.6303e2,-1.1527e0,-2.8959e1
2.7542e2,-1.2492e0,-3.0092e1
2.8840e2,-1.3526e0,-3.1253e1
3.0200e2,-1.4632e0,-3.2439e1
3.1623e2,-1.5813e0,-3.3648e1
3.3113e2,-1.7072e0,-3.4880e1
3.4674e2,-1.8412e0,-3.6132e1
3.6308e2,-1.9835e0,-3.7402e1
3.8019e2,-2.1343e0,-3.8688e1
3.9811e2,-2.2939e0,-3.9989e1
4.1687e2,-2.4623e0,-4.1300e1
4.3652e2,-2.6398e0,-4.2621e1
4.5709e2,-2.8263e0,-4.3947e1
4.7863e2,-3.0220e0,-4.5277e1
5.0119e2,-3.2269e0,-4.6608e1
5.2481e2,-3.4409e0,-4.7937e1
5.4954e2,-3.6640e0,-4.9261e1
5.7544e2,-3.8960e0,-5.0578e1
6.0256e2,-4.1369e0,-5.1886e1
6.3096e2,-4.3865e0,-5.3182e1
6.6069e2,-4.6445e0,-5.4465e1
6.9183e2,-4.9107e0,-5.5731e1
7.2444e2,-5.1848e0,-5.6980e1
7.5858e2,-5.4667e0,-5.8210e1
7.9433e2,-5.7559e0,-5.9420e1
8.3176e2,-6.0522e0,-6.0608e1
8.7096e2,-6.3552e0,-6.1774e1
9.1201e2,-6.6646e0,-6.2918e1
9.5499e2,-6.9801e0,-6.4038e1
1.0000e3,-7.3013e0,-6.5136e1
1.0471e3,-7.6278e0,-6.6212e1
1.0965e3,-7.9594e0,-6.7266e1
1.1482e3,-8.2957e0,-6.8299e1
1.2023e3,-8.6363e0,-6.9313e1
1.2589e3,-8.9810e0,-7.0309e1
1.3183e3,-9.3293e0,-7.1288e1
1.3804e3,-9.6811e0,-7.2255e1
1.4454e3,-1.0036e1,-7.3210e1
1.5136e3,-1.0394e1,-7.4157e1
1.5849e3,-1.0754e1,-7.5100e1
1.6596e3,-1.1116e1,-7.6043e1
1.7378e3,-1.1480e1,-7.6991e1
1.8197e3,-1.1846e1,-7.7948e1
1.9055e3,-1.2212e1,-7.8920e1
1.9953e3,-1.2580e1,-7.9916e1
2.0893e3,-1.2948e1,-8.0941e1
2.1878e3,-1.3315e1,-8.2005e1
2.2909e3,-1.3682e1,-8.3117e1
2.3988e3,-1.4048e1,-8.4288e1
2.5119e3,-1.4412e1,-8.5531e1
2.6303e3,-1.4772e1,-8.6860e1
2.7542e3,-1.5128e1,-8.8289e1
2.8840e3,-1.5479e1,-8.9835e1
3.0200e3,-1.5822e1,-9.1518e1
3.1623e3,-1.6154e1,-9.3357e1
3.3113e3,-1.6474e1,-9.5373e1
3.4674e3,-1.6777e1,-9.7588e1
3.6308e3,-1.7058e1,-1.0002e2
3.8019e3,-1.7313e1,-1.0270e2
3.9811e3,-1.7534e1,-1.0563e2
4.1687e3,-1.7714e1,-1.0882e2
4.3652e3,-1.7843e1,-1.1228e2
4.5709e3,-1.7913e1,-1.1600e2
